date,stock_id,sector,log_return,MA_5,MA_21,MA_63,VOL_5,VOL_21,VOL_63,SP500_ret,SP500_VOL21,day_of_week,month,time_idx,split
2015-04-06,AAPL,Technology,0.016068688617474604,0.006544878712876489,0.00035278230221966303,0.0024842436168388796,0.015684045509877297,0.014203423028036899,0.017147068803060377,0.006586997425284128,0.009252282785307795,0,4,0,train
2015-04-06,JNJ,Healthcare,-0.004828804079396454,-0.002365917284487442,-0.0015868133065574832,-0.0007248931442860192,0.010752094540742515,0.011727577436061388,0.011453014081320283,0.006586997425284128,0.009252282785307795,0,4,0,train
2015-04-06,JPM,Financials,-0.0008263886471349814,0.004391156584741964,-0.0008743835393630614,-0.0004164220914200969,0.012198520235141511,0.012135483713340087,0.014983977664093644,0.006586997425284128,0.009252282785307795,0,4,0,train
2015-04-06,UNP,Industrials,-0.007182733650662874,-0.003857169835219719,-0.005072315410426467,-0.0016547871630690169,0.011725037837359854,0.013399039634065406,0.015349667918586059,0.006586997425284128,0.009252282785307795,0,4,0,train
2015-04-06,XOM,Energy,0.009797689385980858,0.0036749569575272546,-0.0008921988689123209,-0.001255424358093516,0.013363536173273597,0.011334464110958323,0.012728231750474992,0.006586997425284128,0.009252282785307795,0,4,0,train
2015-04-07,AAPL,Technology,-0.010577778250474625,-0.0005705000668254637,-0.0002224254471377037,0.0027699284459606717,0.013071348237233096,0.014397836258883884,0.016766952302316618,-0.0020640140117176337,0.008708693981596377,1,4,1,train
2015-04-07,JNJ,Healthcare,0.009435096758526286,-0.002876258955030608,-4.767643384275683e-06,-0.00046387834099529513,0.009929642456092345,0.01078600283519887,0.01149479567020548,-0.0020640140117176337,0.008708693981596377,1,4,1,train
2015-04-07,JPM,Financials,0.006264212791514936,0.0009637003017291361,0.0002841568690075271,0.0001836017920094478,0.006681947768171761,0.011559953201743536,0.014465562505336564,-0.0020640140117176337,0.008708693981596377,1,4,1,train
2015-04-07,UNP,Industrials,0.013555571021138496,-0.004162065944658467,-0.003674442658667566,-0.0008981545253098033,0.011113352673764416,0.013750582541018288,0.014891955875430657,-0.0020640140117176337,0.008708693981596377,1,4,1,train
2015-04-07,XOM,Energy,0.007256676556541197,0.0002801359061531773,6.669902527456065e-05,-0.0006998684071605246,0.007858102922198741,0.011119318420702275,0.012310427031295066,-0.0020640140117176337,0.008708693981596377,1,4,1,train
