Date,AAPL,ABBV,ACN,ADBE,AMAT,AMD,AMZN,AVGO,BAC,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,GOOG,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NVDA,ORCL,PEP,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,V,WFC,WMT,XOM
1/4/2010,6.418381214,,31.49217033,37.09000015,11.02714157,9.699999809,6.695000172,1.328562617,12.1691885,66.22000122,39.29058075,42.16190338,18.48045731,15.97569942,41.66910934,15.15910053,15.49403191,15.56681538,130.6415558,19.5717926,72.88150024,13.51942825,40.41844559,28.4239254,17.4353981,60.21261215,23.48803902,17.29080009,23.58256149,40.55768967,,20.61231422,23.13005257,8.34738636,0.763999999,0.423806787,20.01703453,37.96263504,38.41703415,23.34141541,31.36625481,30.90508842,44.98340225,,17.13591766,24.59744644,19.64565468,18.02599907,12.96036911,37.88180542
1/5/2010,6.42948103,,31.68680382,37.70000076,10.9423151,9.710000038,6.734499931,1.338424802,12.56474495,66.54000092,39.76032639,42.03414536,18.40141678,15.9045229,41.96427536,15.1409502,15.42580128,15.49826336,132.9512482,19.71515274,72.00108337,13.51294994,39.94975662,28.97449493,17.2244854,59.09046173,23.0749321,17.11161041,23.51277733,40.24760818,,20.69585419,23.13752937,8.265873909,0.73585701,0.429995358,19.99287224,38.4213562,38.42958832,23.13804436,32.12135696,30.44342041,45.13494492,,17.0370903,24.55843163,19.42053413,18.52085686,12.83131409,38.02971649
1/6/2010,6.327209949,,32.02365875,37.61999893,10.91917896,9.569999695,6.612500191,1.348991394,12.71210861,66.19999695,39.88111496,42.58062744,18.36931038,15.80099583,41.96955109,15.16918659,15.03693676,15.1075716,131.5321655,19.64688873,71.53334045,13.46762657,40.27472687,29.13369179,17.21836853,59.61459732,23.24542046,17.15640831,23.47877884,39.69850159,,20.97431564,22.9955349,8.34738636,0.761713982,0.432745814,19.70288658,38.03701782,38.24730682,23.13804436,31.8072834,30.28379059,45.56110001,,16.91191673,24.80027771,19.15975189,18.54724503,12.80263424,38.35840225
1/7/2010,6.315514565,,31.9937191,36.88999939,10.80351162,9.470000267,6.5,1.340538502,13.13093185,66.45999908,40.04217529,42.37480164,18.28780174,15.87217045,41.8114357,15.29424858,14.68688202,14.75587463,134.1060486,19.87899208,71.28575134,13.33813381,39.98726273,29.71080971,17.17558479,59.76964569,23.12738228,17.64916039,23.32534409,39.98920441,,21.00773239,22.75639915,8.323870659,0.748570979,0.424265176,19.63844681,37.79525757,38.03990936,23.42655563,32.72942352,30.41320992,45.56110001,,16.96461678,25.75203323,19.33806229,19.22025681,12.80980492,38.23788071
1/8/2010,6.357501507,,31.86644554,36.68999863,11.21992588,9.430000305,6.676000118,1.350400567,13.01459503,66.44000244,40.49179077,42.06963348,18.31497002,15.95628262,41.88520813,15.50807476,14.88267612,14.95258904,131.5699005,19.78341866,72.00108337,13.48705482,40.12472534,29.63783836,16.85768318,60.16091156,22.95034599,17.61182404,23.33362579,39.95043945,,20.99660301,22.91332245,8.251765251,0.761429012,0.425181955,19.88010025,37.67127228,37.98961639,23.29885101,33.05686569,30.47362518,46.32816696,,17.3533287,25.51018715,19.3915596,19.04210854,12.74527836,38.08449936
1/11/2010,6.301417351,,31.83651924,36.20999908,11.46668339,9.140000343,6.515500069,1.358853579,13.13093185,66.5,43.03507996,42.11931229,18.19146919,15.91099739,42.62836456,15.68356514,14.86017799,14.92998695,129.4942169,19.22363853,71.24723816,13.56475163,40.13098526,29.5383358,17.20003319,60.72939301,23.26508331,17.46251106,22.94960403,40.26052856,,21.08013916,22.62186623,8.245491028,0.760429025,0.419222474,19.88814545,37.6278801,37.83875275,23.38398552,32.93656158,31.13375854,46.87743759,,17.12933159,25.6818161,19.33584023,19.00251579,12.9555912,38.51179886
1/12/2010,6.229737759,,31.63439178,35.65999985,10.95003223,8.649999619,6.367499828,1.338424802,12.68884182,66,41.76679611,41.89221954,16.86755562,15.65864468,42.3806572,15.46571541,14.59739208,14.66596508,126.6712723,19.10076523,71.81400299,13.34461212,40.34346008,28.84846687,17.38649178,60.07971191,23.18640709,17.41771698,22.93673897,40.48018646,,20.91305542,22.47240257,8.044840813,0.748143017,0.405011535,19.78343391,38.1547966,38.27246094,23.25628662,32.40200424,30.95254135,46.10089111,,16.41121674,25.00310898,19.24445152,18.52745438,13.07986164,38.32006454
1/13/2010,6.317610741,,31.9937191,36.27999878,11.00400639,9.149999619,6.455500126,1.297567606,12.89049625,66,41.82718277,42.15478516,16.91942406,15.94334126,42.05913544,15.50403881,14.513587,14.58176613,127.6147842,19.20315933,71.65994263,13.57122612,40.5996666,29.35258484,17.43234634,61.14281464,23.50770569,17.33559036,23.53297997,40.43496323,,21.6816349,22.68164825,8.073060989,0.770856977,0.410512656,19.97676277,38.46474075,38.6684494,23.49277306,32.54232407,31.30633545,46.11982727,,16.48368454,25.38537025,19.42276192,18.85736275,13.14678478,38.16665649
1/14/2010,6.281022549,,32.2781601,35.90000153,11.06570053,9,6.367499828,1.298272252,13.04561996,65.95999908,41.59232712,41.67221451,17.08985519,16.14393234,41.92737579,15.56859112,14.58181858,14.65031719,127.2072144,19.31921196,72.80446625,13.90792084,40.68089676,29.64447212,17.4629097,59.80657959,23.60607338,17.31319809,23.93078804,40.47371292,,22.27198792,23.13752937,7.839493275,0.728429019,0.404094785,20.4529686,38.92966843,38.70615768,23.45966721,32.32181549,31.41419983,45.8546524,,16.27945518,25.9938736,19.48963547,19.1278801,12.9555912,38.17214966
1/15/2010,6.176055431,,32.04611206,35.86999893,10.58759403,8.840000153,6.356999874,1.28488791,12.61128235,64.94000244,40.61938858,41.72188187,16.95153427,15.78805161,41.75872421,15.37292004,14.3383131,14.40566921,124.70121,19.50353241,72.51281738,13.46762657,40.34346008,28.97449493,17.20615387,59.76964569,23.48803902,17.33568192,24.13015175,40.23469162,,21.98237419,23.06279373,7.924138546,0.727856994,0.392175943,20.37225914,38.61352539,38.2284584,23.46913147,32.42871094,31.06042099,45.22016907,,16.14109421,26.32932663,19.19987679,18.52745438,12.82891941,37.85988998
1/19/2010,6.449274063,,32.74976349,36.95000076,10.77266693,9.010000229,6.38049984,1.254597425,12.65781403,66.63999939,41.16667557,41.8354454,17.16642189,16.07923126,41.99590683,15.49395275,14.52668858,14.59492779,125.9465942,19.71515274,73.81141663,13.62949657,40.83712387,28.70916748,17.24588585,59.85824966,24.53064537,17.32069016,24.32308578,41.00992203,,22.62285995,23.2421608,7.977435589,0.731428981,0.399510652,20.44490242,38.63832092,38.79415131,23.69143295,32.95661926,31.18982697,46.37553787,,16.28603935,27.40590286,19.58102226,18.65941811,12.91257572,37.94754028
1/20/2010,6.350002289,,32.57009506,36.49000168,10.64157581,8.869999886,6.289000034,1.265164137,12.78966999,69.51999664,40.3761673,41.35287094,16.93177795,15.79452229,41.1894989,15.32853985,14.34844971,14.41585064,126.6486053,19.56497002,71.67092133,13.64892483,40.71214676,28.78877258,16.9646759,59.61459732,24.45850182,17.08833885,24.19813728,40.70628738,,22.85120773,22.86101341,7.834788799,0.731999993,0.397906125,20.22696686,38.40274048,38.2687149,23.28939247,32.30843735,30.81880951,46.18610001,,16.17403984,26.95342445,19.48517799,18.35590363,12.87194252,37.26823807
1/21/2010,6.240236282,,32.25571442,35.81999969,10.47192764,8.989999771,6.330999851,1.267277241,11.99855232,72.72000122,38.41005707,40.82060623,16.51928711,15.51629066,40.18282318,15.07034397,14.41198254,14.47968483,121.4253387,19.44208908,70.98308563,13.4935236,39.97476578,26.89161873,16.61925888,58.69181824,23.67820358,17.15580368,23.74980545,40.82904434,,22.32210541,22.42755318,7.685865402,0.731285989,0.390800714,20.04133606,37.77664566,37.88256073,22.57520103,32.13470459,30.2579174,45.23908234,,15.93027592,25.82224846,18.82318687,18.47467232,12.64729404,36.53963852
1/22/2010,5.930728912,,31.57452202,34.38000107,9.739354134,7.880000114,6.071499825,1.236986637,11.55646133,70.09999847,36.65338898,40.50125885,15.94131088,14.86276817,39.3131752,14.81617832,13.59692478,13.66079712,116.3304443,18.92326927,69.0572052,12.89137077,39.49360275,25.9762249,16.57952309,57.76156616,23.29132271,16.72110367,23.13426018,40.95178986,,21.64822388,21.64285088,7.546352863,0.726999998,0.377277315,19.49247742,37.43570709,38.18008804,22.14006233,31.25935173,29.80487442,44.54776382,,15.22533894,25.86905479,18.43981743,17.98641205,12.65207291,36.2109375
1/25/2010,6.09028101,,31.34994698,34.15999985,9.747065544,8.069999695,6.015500069,1.243326187,11.61851215,68.83999634,37.25471878,40.84189606,15.8400383,14.87571144,39.29209137,15.03201962,13.34946346,13.41217518,116.9796066,18.85500526,69.39836884,13.15683842,39.50608444,26.00938797,16.6131382,58.64011765,23.44213676,16.57869339,23.19305801,40.75799179,,21.58695412,21.91189194,7.485219002,0.701856971,0.383695185,19.39561462,37.33653259,38.38265991,22.25356865,31.34621429,29.59346962,44.60458755,,15.60746384,25.74423981,18.28379059,18.25033951,12.63773537,36.07398605
1/26/2010,6.176356316,,31.3125248,33.93999863,9.754777908,8.090000153,5.973999977,1.251075149,11.45563316,68,37.73442078,41.11158371,16.1561985,14.81747437,39.08126831,14.93922997,13.40929031,13.4722805,113.8848419,18.93009758,69.19476318,12.94964218,39.2373848,25.49861526,16.54895782,58.07164001,23.710989,16.45877647,22.84027672,41.22311783,,21.48670578,22.04641914,7.715651035,0.713571012,0.371547192,19.27454567,37.3489151,38.42065811,22.22992706,31.33284569,29.54169655,44.02690887,,15.38346004,25.3073616,18.08764076,17.80825996,12.81219959,36.11233521
